"","Station","Cluster_ID","CV (< 0.375)","Uncertainty AVG","Environment Type","Latitude","Longitude","Zone","Region","Northing","Easting","Altitude (m)","Start Date","End Date","UK-AIR ID"
"117","Preston",2,0,0,"Background Urban",53.76559,-2.680353,"Preston Urban Area","North West & Merseyside",430130.62,355249.54,40,"06/06/2000","6/24/19","UKA00408"
"118","Reading.London.Road",4,0,0,"Traffic Urban",51.454896,-0.940382,"Reading/Wokingham Urban Area","South East",173411.72,473721.4,45,"03/04/2016",NA,"UKA00620"
"119","Reading.New.Town",4,0,0,"Background Urban",51.45309,-0.944067,"Reading/Wokingham Urban Area","South East",173207.18,473468.26,58,"10/17/03","6/27/19","UKA00462"
"120","Rochester.Stoke",4,0,0,"Background Rural",51.45617,0.634889,"South East","South East",176313.73,583157.86,14,"1/26/96","08/02/2018","UKA00251"
"121","Salford.Eccles",2,0,0,"Background Urban",53.48481,-2.334139,"Greater Manchester Urban Area","North West & Merseyside",398729.04,377924.61,30,"3/20/97","07/11/2018","UKA00339"
"122","Sandy.Roadside",4,0,0,"Traffic Urban",52.132417,-0.300306,"Eastern","Eastern",249596.87,516436.44,22,"7/28/08","02/07/2019","UKA00533"
"123","Scunthorpe.Town",2,0,0,"Industrial Urban",53.58634,-0.636811,"Yorkshire & Humberside","Yorkshire & Humberside",410836.36,490337.58,36,"01/01/1999","10/02/2018","UKA00381"
"124","Shaw.Crompton.Way",2,0,0,"Traffic Urban",53.579283,-2.093786,"Greater Manchester Urban Area","North West & Merseyside",409191.7,393887.84,193,"04/01/2014",NA,"UKA00579"
"125","Sheffield.Barnsley.Road",2,0,0,"Traffic Urban",53.40495,-1.455815,"Sheffield Urban Area","Yorkshire & Humberside",389930.1,436276.16,82,"08/01/2016",NA,"UKA00622"
"126","Sheffield.Devonshire.Green",2,0,0,"Background Urban",53.378622,-1.478096,"Sheffield Urban Area","Yorkshire & Humberside",386990,434816,89,"10/31/13","5/17/19","UKA00575"
"127","Sheffield.Tinsley",2,0,0,"Background Urban",53.41058,-1.396139,"Sheffield Urban Area","Yorkshire & Humberside",390588.34,440238.23,90,"11/28/90","12/31/13","UKA00181"
"128","Southampton.A33",4,0,0,"Traffic Urban",50.920265,-1.463484,"Southampton Urban Area","South East",113559.78,437808.99,5,"01/01/2016",NA,"UKA00613"
"129","Southampton.Centre",4,0,0,"Background Urban",50.90814,-1.395778,"Southampton Urban Area","South East",112248.19,442579.15,7,"01/04/1994","11/07/2019","UKA00235"
"130","Southend.on.Sea",4,0,0,"Background Urban",51.544206,0.678408,"Southend Urban Area","Eastern",186212.09,585822.56,37,"7/24/00","9/23/19","UKA00409"
"131","Southwark.A2.Old.Kent.Road",4,0,0,"Traffic Urban",51.480499,-0.05955,"Greater London Urban Area","Greater London Urban Area",177512.01,534844.25,10,"01/01/2011","1/31/19","UKA00558"
"132","St.Helens.Linkway",2,0,0,"Traffic Urban",53.451826,-2.742134,"Liverpool Urban Area","North West & Merseyside",395264,350812.97,32,"9/27/16","9/19/18","UKA00627"
